Program,Version,Program build date,Command line,Start time,Stop time,Elapsed time (seconds),Status
"ClipData",2.80,"Sep  5 2024 15:14:07","- Nova Scotia Community College\AGRG\Fusion\clipdata"  /shape:1 /dtm:"C:\Users\W0491597\OneDrive - Nova Scotia Community College\AGRG\Fusion\Data\originals\demo_4800K_UTM.dtm" /height:"C:\Users\W0491597\OneDrive - Nova Scotia Community College\AGRG\Fusion\Data\originals\demo_4800K_UTM.lda" "C:\Users\W0491597\OneDrive - Nova Scotia Community College\AGRG\Fusion\Data\working\clipplot2.lda" 488415.493109 5189217.21824 488465.493109 5189267.21824","Mon Jul 21 13:42:50 2025","Mon Jul 21 13:42:50 2025",0,Errors
"ClipData",2.80,"Sep  5 2024 15:14:07","- Nova Scotia Community College\AGRG\Fusion\clipdata"  /shape:1 /dtm:"C:\Users\W0491597\OneDrive - Nova Scotia Community College\AGRG\Fusion\Data\originals\demo_4800K_UTM.dtm" /height:"C:\Users\W0491597\OneDrive - Nova Scotia Community College\AGRG\Fusion\Data\originals\demo_4800K_UTM.lda" "C:\Users\W0491597\OneDrive - Nova Scotia Community College\AGRG\Fusion\Data\working\clipplot3.lda" 487700.081078 5189188.03520 487750.081078 5189238.03520","Mon Jul 21 13:42:50 2025","Mon Jul 21 13:42:50 2025",0,Errors
"PolyClipData",1.80,"Sep  5 2024 15:17:02"," /multifile /shape:3,* Data\LLY\Plot_Polygon\20250422_LLR_L2_PlotCenters_Estimated.shp stand.las Data\LLY\Airborne\20241009144557_AGRG_LLR_Topo_CGVD2013.las","Mon Jul 21 14:25:20 2025","Mon Jul 21 14:25:20 2025",0,Errors
"PolyClipData",1.80,"Sep  5 2024 15:17:02"," /multifile /shape:3,* Data\LLY\Plot_Polygon\20250422_LLR_L2_PlotCenters_Estimated.shp Data\LLY\Output\stand.las Data\LLY\Airborne\20241009144557_AGRG_LLR_Topo_CGVD2013.las","Mon Jul 21 14:27:24 2025","Mon Jul 21 14:27:24 2025",0,Errors
"PolyClipData",1.80,"Sep  5 2024 15:17:02"," /multifile /shape:3,* Data\LLY\Plot_Polygon\20250422_LLR_L2_PlotCenters_Estimated.shp Data\LLY\Output\stand.las Data\LLY\Airborne\20241009144557_AGRG_LLR_Topo_CGVD2013.las","Mon Jul 21 14:43:04 2025","Mon Jul 21 14:43:10 2025",6,Errors
"PolyClipData",1.80,"Sep  5 2024 15:17:02"," /multifile /shape:2,* Data\LLY\Plot_Polygon\20250422_LLR_L2_PlotCenters_Estimated.shp Data\LLY\Output\stand.las Data\LLY\Airborne\20241009144557_AGRG_LLR_Topo_CGVD2013.las","Mon Jul 21 14:44:24 2025","Mon Jul 21 14:44:24 2025",0,Errors
"PolyClipData",1.80,"Sep  5 2024 15:17:02"," /multifile /shape:2,* Data\LLY\Plot_Polygon\20250422_LLR_L2_PlotCenters_Estimated.shp Data\LLY\Output\stand.las Data\LLY\Airborne\20241009144557_AGRG_LLR_Topo_CGVD2013.las","Mon Jul 21 14:44:27 2025","Mon Jul 21 14:44:27 2025",0,Errors
"PolyClipData",1.80,"Sep  5 2024 15:17:02"," /multifile /shape:0,* Data\LLY\Plot_Polygon\20250422_LLR_L2_PlotCenters_Estimated.shp Data\LLY\Output\stand.las Data\LLY\Airborne\20241009144557_AGRG_LLR_Topo_CGVD2013.las","Mon Jul 21 14:45:17 2025","Mon Jul 21 14:45:17 2025",0,Errors
"PolyClipData",1.80,"Sep  5 2024 15:17:02"," /multifile /shape:1,* ..\Data\LLY\Plot_Polygon\Plot_Buffer_11m.shp ..\Data\LLY\Output\stand.las ..\Data\LLY\Airborne\20241009144557_AGRG_LLR_Topo_CGVD2013.las","Mon Jul 21 14:52:23 2025","Mon Jul 21 14:53:23 2025",60,Success
"CloudMetrics",2.76,"Sep  5 2024 15:12:39"," /new /id ..\Data\LLY\Output\stand_*.las ..\Data\LLY\Output\stand_metrics.csv","Mon Jul 21 15:01:08 2025","Mon Jul 21 15:01:09 2025",1,Success
"GroundFilter",1.90,"Sep  5 2024 15:15:51"," 10.0 Data\LLY\Airborne\20241009144557_AGRG_LLR_Topo_CGVD2013.las Data\LLY\Output\ground_points.las","Tue Jul 22 09:25:07 2025","Tue Jul 22 09:25:07 2025",0,Errors
"GridSurfaceCreate",2.10,"Sep  5 2024 15:15:34"," Data\LLY\Output\ground.dtm 10.0 M M 1 20 1 0 Data\LLY\Output\ground_points.las","Tue Jul 22 09:25:08 2025","Tue Jul 22 09:25:08 2025",0,Errors
"GroundFilter",1.90,"Sep  5 2024 15:15:51"," 10.0 LLY\Airborne\20241009144557_AGRG_LLR_Topo_CGVD2013.las LLY\Output\ground_points.las","Tue Jul 22 09:29:18 2025","Tue Jul 22 09:29:18 2025",0,Errors
"GridSurfaceCreate",2.10,"Sep  5 2024 15:15:34"," LLY\Output\ground.dtm 10.0 M M 1 20 1 0 LLY\Output\ground_points.las","Tue Jul 22 09:29:18 2025","Tue Jul 22 09:29:18 2025",0,Errors
"GroundFilter",1.90,"Sep  5 2024 15:15:51"," 10.0 LLY\Airborne\20241009144557_AGRG_LLR_Topo_CGVD2013.las LLY\Output\ground_points.las","Tue Jul 22 09:33:50 2025","Tue Jul 22 09:33:50 2025",0,Errors
"GridSurfaceCreate",2.10,"Sep  5 2024 15:15:34"," LLY\Output\ground.dtm 10.0 M M 1 20 1 0 LLY\Output\ground_points.las","Tue Jul 22 09:33:50 2025","Tue Jul 22 09:33:51 2025",1,Errors
"GroundFilter",1.90,"Sep  5 2024 15:15:51"," 10.0 LLY\Airborne\20241009144557_AGRG_LLR_Topo_CGVD2013.las LLY\Output\ground_points.las","Tue Jul 22 09:34:03 2025","Tue Jul 22 09:34:03 2025",0,Errors
"GridSurfaceCreate",2.10,"Sep  5 2024 15:15:34"," LLY\Output\ground.dtm 10.0 M M 1 20 1 0 LLY\Output\ground_points.las","Tue Jul 22 09:34:03 2025","Tue Jul 22 09:34:03 2025",0,Errors
"GroundFilter",1.90,"Sep  5 2024 15:15:51"," 10.0 LLY\Airborne\20241009144557_AGRG_LLR_Topo_CGVD2013.las LLY\Output\ground_points.las","Tue Jul 22 09:34:56 2025","Tue Jul 22 09:34:56 2025",0,Errors
"GridSurfaceCreate",2.10,"Sep  5 2024 15:15:34"," LLY\Output\ground.dtm 10.0 M M 1 20 1 0 LLY\Output\ground_points.las","Tue Jul 22 09:34:56 2025","Tue Jul 22 09:34:56 2025",0,Errors
"GridSurfaceCreate",2.10,"Sep  5 2024 15:15:34"," LLY\Output\ground.dtm 10.0 M M 1 20 1 0 LLY\Output\ground_points.las","Tue Jul 22 09:47:14 2025","Tue Jul 22 09:47:14 2025",0,Errors
"GroundFilter",1.90,"Sep  5 2024 15:15:51"," LLY\Output\ground_points.las 10.0 LLY\Airborne\20241009144557_AGRG_LLR_Topo_CGVD2013.las","Tue Jul 22 09:51:13 2025","Tue Jul 22 09:56:30 2025",317,Success
"GridSurfaceCreate",2.10,"Sep  5 2024 15:15:34"," LLY\Output\ground.dtm 10.0 M M 1 20 1 0 LLY\Output\ground_points.las","Tue Jul 22 10:00:44 2025","Tue Jul 22 10:00:57 2025",13,Success
"DTM2TIF",1.21,"Sep  5 2024 15:14:54"," LLY\Output\ground.dtm","Tue Jul 22 10:09:20 2025","Tue Jul 22 10:09:20 2025",0,Success
"CloudMetrics",2.76,"Sep  5 2024 15:12:39"," /new /id /ground:..\Data\LLY\Output\ground.dtm ..\Data\LLY\Output\stand_*.las ..\Data\LLY\Output\stand_metrics.csv","Tue Jul 22 10:12:12 2025","Tue Jul 22 10:12:12 2025",0,Errors
"ClipData",2.80,"Sep  5 2024 15:14:07","- Nova Scotia Community College\AGRG\Fusion\clipdata.exe" Data\LLY\Output\stand_1.las Data\LLY\Output\normalized\stand_1.las /height /dtm:Data\LLY\Output\ground.dtm verbose","Tue Jul 22 11:16:59 2025","Tue Jul 22 11:16:59 2025",0,Errors
"ClipData",2.80,"Sep  5 2024 15:14:07","- Nova Scotia Community College\AGRG\Fusion\clipdata.exe" Data\LLY\Output\stand_1.las Data\LLY\Output\normalized\stand_1.las /height /dtm:Data\LLY\Output\ground.dtm verbose","Tue Jul 22 11:17:20 2025","Tue Jul 22 11:17:20 2025",0,Errors
"ClipData",2.80,"Sep  5 2024 15:14:07","- Nova Scotia Community College\AGRG\Fusion\clipdata.exe" Data\LLY\Output\stand_1.las Data\LLY\Output\normalized\stand_1.las /height /dtm:Data\LLY\Output\ground.dtm verbose","Tue Jul 22 11:18:39 2025","Tue Jul 22 11:18:39 2025",0,Errors
"ClipData",2.80,"Sep  5 2024 15:14:02","- Nova Scotia Community College\AGRG\Fusion\clipdata64.exe" Data\LLY\Output\stand_1.las Data\LLY\Output\normalized\stand_1.las /height /dtm:Data\LLY\Output\ground.dtm verbose","Tue Jul 22 11:20:21 2025","Tue Jul 22 11:20:21 2025",0,Errors
"ClipData",2.80,"Sep  5 2024 15:14:02","- Nova Scotia Community College\AGRG\Fusion\clipdata64.exe" Data\LLY\Output\stand_1.las Data\LLY\Output\normalized\stand_1.las /height /dtm:Data\LLY\Output\ground.dtm verbose","Tue Jul 22 11:20:57 2025","Tue Jul 22 11:20:57 2025",0,Errors
"ClipData",2.80,"Sep  5 2024 15:14:02","- Nova Scotia Community College\AGRG\Fusion\clipdata64.exe" Data\LLY\Output\stand_1.las Data\LLY\Output\normalized\stand_1.las /height /dtm:Data\LLY\Output\ground.dtm verbose","Tue Jul 22 11:21:36 2025","Tue Jul 22 11:21:36 2025",0,Errors
"ClipData",2.80,"Sep  5 2024 15:14:02","- Nova Scotia Community College\AGRG\Fusion\clipdata64.exe" /height /dtm:Data\LLY\Output\ground.dtm Data\LLY\Output\stand_1.las Data\LLY\Output\normalized\stand_1.las verbose","Tue Jul 22 11:24:10 2025","Tue Jul 22 11:24:10 2025",0,Success
"DTMDescribe",1.01,"Sep  5 2024 15:15:05","- Nova Scotia Community College\AGRG\Fusion\DTMDescribe.exe" Data\LLY\Output\stand_1.las verbose","Tue Jul 22 11:31:23 2025","Tue Jul 22 11:31:23 2025",0,Success
"ClipData",2.80,"Sep  5 2024 15:14:02","- Nova Scotia Community College\AGRG\Fusion\clipdata64.exe" /height /dtm:Data\LLY\Output\ground.dtm Data\LLY\Output\stand_1.las Data\LLY\Output\normalized\stand_1.las 335533.912 4982858.955 335556.421 4982881.421","Tue Jul 22 11:34:46 2025","Tue Jul 22 11:34:46 2025",0,Success
"ClipData",2.80,"Sep  5 2024 15:14:02","- Nova Scotia Community College\AGRG\Fusion\clipdata64.exe"  /height /dtm:Data\LLY\Output\ground.dtm Data\LLY\Output\stand_1.las Data\LLY\Output\normalized\stand_1.las 335533.912 4982858.955 335556.421 4982881.421","Tue Jul 22 11:47:24 2025","Tue Jul 22 11:47:24 2025",0,Success
"ClipData",2.80,"Sep  5 2024 15:14:02","- Nova Scotia Community College\AGRG\Fusion\clipdata64.exe"  /height /dtm:Data\LLY\Output\ground.dtm Data\LLY\Output\stand_1.las Data\LLY\Output\normalized\stand_1.las 335533.912 4982858.955 335556.421 4982881.421","Tue Jul 22 11:48:35 2025","Tue Jul 22 11:48:36 2025",1,Success
"ClipData",2.80,"Sep  5 2024 15:14:02","- Nova Scotia Community College\AGRG\Fusion\clipdata64.exe"  /height /dtm:Data\LLY\Output\ground.dtm Data\LLY\Output\stand_1.las Data\LLY\Output\normalized\stand_1.las 335533.912 4982858.955 335556.421 4982881.421","Tue Jul 22 11:48:36 2025","Tue Jul 22 11:48:36 2025",0,Success
"ClipData",2.80,"Sep  5 2024 15:14:02","- Nova Scotia Community College\AGRG\Fusion\clipdata64.exe"  /height /dtm:Data\LLY\Output\ground.dtm Data\LLY\Output\stand_2.las Data\LLY\Output\normalized\stand_2.las 335491.217 4982823.948 335513.731 4982846.465","Tue Jul 22 11:48:36 2025","Tue Jul 22 11:48:36 2025",0,Success
"ClipData",2.80,"Sep  5 2024 15:14:02","- Nova Scotia Community College\AGRG\Fusion\clipdata64.exe"  /height /dtm:Data\LLY\Output\ground.dtm Data\LLY\Output\stand_3.las Data\LLY\Output\normalized\stand_3.las 335529.442 4982781.409 335551.914 4982803.915","Tue Jul 22 11:48:36 2025","Tue Jul 22 11:48:36 2025",0,Success
"ClipData",2.80,"Sep  5 2024 15:14:02","- Nova Scotia Community College\AGRG\Fusion\clipdata64.exe"  /height /dtm:Data\LLY\Output\ground.dtm Data\LLY\Output\stand_4.las Data\LLY\Output\normalized\stand_4.las 335564.038 4982694.778 335586.525 4982717.318","Tue Jul 22 11:48:36 2025","Tue Jul 22 11:48:36 2025",0,Success
"ClipData",2.80,"Sep  5 2024 15:14:02","- Nova Scotia Community College\AGRG\Fusion\clipdata64.exe"  /height /dtm:Data\LLY\Output\ground.dtm Data\LLY\Output\stand_5.las Data\LLY\Output\normalized\stand_5.las 335555.924 4982644.391 335578.42 4982666.928","Tue Jul 22 11:48:36 2025","Tue Jul 22 11:48:36 2025",0,Success
"ClipData",2.80,"Sep  5 2024 15:14:02","- Nova Scotia Community College\AGRG\Fusion\clipdata64.exe"  /height /dtm:Data\LLY\Output\ground.dtm Data\LLY\Output\stand_6.las Data\LLY\Output\normalized\stand_6.las 335601.155 4982648.062 335623.627 4982670.575","Tue Jul 22 11:48:37 2025","Tue Jul 22 11:48:37 2025",0,Success
"ClipData",2.80,"Sep  5 2024 15:14:02","- Nova Scotia Community College\AGRG\Fusion\clipdata64.exe"  /height /dtm:Data\LLY\Output\ground.dtm Data\LLY\Output\stand_7.las Data\LLY\Output\normalized\stand_7.las 335642.86 4982617.813 335665.386 4982640.327","Tue Jul 22 11:48:37 2025","Tue Jul 22 11:48:37 2025",0,Success
"ClipData",2.80,"Sep  5 2024 15:14:02","- Nova Scotia Community College\AGRG\Fusion\clipdata64.exe"  /height /dtm:Data\LLY\Output\ground.dtm Data\LLY\Output\stand_8.las Data\LLY\Output\normalized\stand_8.las 335592.366 4982742.316 335614.851 4982764.806","Tue Jul 22 11:48:37 2025","Tue Jul 22 11:48:37 2025",0,Success
"CloudMetrics",2.76,"Sep  5 2024 15:12:39","- Nova Scotia Community College\AGRG\Fusion\CloudMetrics.exe"  /new /id "/ground:c:\Users\W0491597\OneDrive - Nova Scotia Community College\AGRG\Fusion\Data\LLY\Output\ground.dtm" "c:\Users\W0491597\OneDrive - Nova Scotia Community College\AGRG\Fusion\Data\LLY\Output\normalized\stand_1.las" "c:\Users\W0491597\OneDrive - Nova Scotia Community College\AGRG\Fusion\Data\LLY\Output\normalized\stand_2.las" "c:\Users\W0491597\OneDrive - Nova Scotia Community College\AGRG\Fusion\Data\LLY\Output\normalized\stand_3.las" "c:\Users\W0491597\OneDrive - Nova Scotia Community College\AGRG\Fusion\Data\LLY\Output\normalized\stand_4.las" "c:\Users\W0491597\OneDrive - Nova Scotia Community College\AGRG\Fusion\Data\LLY\Output\normalized\stand_5.las" "c:\Users\W0491597\OneDrive - Nova Scotia Community College\AGRG\Fusion\Data\LLY\Output\normalized\stand_6.las" "c:\Users\W0491597\OneDrive - Nova Scotia Community College\AGRG\Fusion\Data\LLY\Output\normalized\stand_7.las" "c:\Users\W0491597\OneDrive - Nova Scotia Community College\AGRG\Fusion\Data\LLY\Output\normalized\stand_8.las" "c:\Users\W0491597\OneDrive - Nova Scotia Community College\AGRG\Fusion\Data\LLY\Output\normalized\stand_metrics.csv"","Tue Jul 22 11:51:26 2025","Tue Jul 22 11:51:26 2025",0,Errors
"CloudMetrics",2.76,"Sep  5 2024 15:12:39"," /new /id /ground:Data\LLY\Output\ground.dtm Data\LLY\Output\normalized\stand_1.las Data\LLY\Output\normalized\stand_2.las Data\LLY\Output\normalized\stand_3.las Data\LLY\Output\normalized\stand_4.las Data\LLY\Output\normalized\stand_5.las Data\LLY\Output\normalized\stand_6.las Data\LLY\Output\normalized\stand_7.las Data\LLY\Output\normalized\stand_8.las Data\LLY\Output\normalized\stand_metrics.csv","Tue Jul 22 11:52:15 2025","Tue Jul 22 11:52:15 2025",0,Errors
"CloudMetrics",2.76,"Sep  5 2024 15:12:39"," /new /id Data\LLY\Output\normalized\stand_1.las Data\LLY\Output\normalized\stand_2.las Data\LLY\Output\normalized\stand_3.las Data\LLY\Output\normalized\stand_4.las Data\LLY\Output\normalized\stand_5.las Data\LLY\Output\normalized\stand_6.las Data\LLY\Output\normalized\stand_7.las Data\LLY\Output\normalized\stand_8.las Data\LLY\Output\normalized\stand_metrics.csv","Tue Jul 22 11:53:24 2025","Tue Jul 22 11:53:24 2025",0,Success
"CloudMetrics",2.76,"Sep  5 2024 15:12:39"," /new /id /verbose Data\LLY\Output\normalized\stand_1.las Data\LLY\Output\normalized\stand_2.las Data\LLY\Output\normalized\stand_3.las Data\LLY\Output\normalized\stand_4.las Data\LLY\Output\normalized\stand_5.las Data\LLY\Output\normalized\stand_6.las Data\LLY\Output\normalized\stand_7.las Data\LLY\Output\normalized\stand_8.las Data\LLY\Output\normalized\stand_metrics.csv","Tue Jul 22 11:56:03 2025","Tue Jul 22 11:56:03 2025",0,Success
"CloudMetrics",2.76,"Sep  5 2024 15:12:39"," /new /id /verbose Data\LLY\Output\normalized\stand_1.las Data\LLY\Output\normalized\stand_2.las Data\LLY\Output\normalized\stand_3.las Data\LLY\Output\normalized\stand_4.las Data\LLY\Output\normalized\stand_5.las Data\LLY\Output\normalized\stand_6.las Data\LLY\Output\normalized\stand_7.las Data\LLY\Output\normalized\stand_8.las Data\LLY\Output\normalized\stand_metrics.csv","Tue Jul 22 11:58:59 2025","Tue Jul 22 11:58:59 2025",0,Success
"CloudMetrics",2.76,"Sep  5 2024 15:12:39"," /id /verbose Data\LLY\Output\normalized\stand_1.las Data\LLY\Output\normalized\stand_1_metrics.csv","Tue Jul 22 11:58:59 2025","Tue Jul 22 11:58:59 2025",0,Success
"CloudMetrics",2.76,"Sep  5 2024 15:12:39"," /id /verbose Data\LLY\Output\normalized\stand_2.las Data\LLY\Output\normalized\stand_2_metrics.csv","Tue Jul 22 11:58:59 2025","Tue Jul 22 11:59:00 2025",1,Success
"CloudMetrics",2.76,"Sep  5 2024 15:12:39"," /id /verbose Data\LLY\Output\normalized\stand_3.las Data\LLY\Output\normalized\stand_3_metrics.csv","Tue Jul 22 11:59:00 2025","Tue Jul 22 11:59:00 2025",0,Success
"CloudMetrics",2.76,"Sep  5 2024 15:12:39"," /id /verbose Data\LLY\Output\normalized\stand_4.las Data\LLY\Output\normalized\stand_4_metrics.csv","Tue Jul 22 11:59:00 2025","Tue Jul 22 11:59:00 2025",0,Success
"CloudMetrics",2.76,"Sep  5 2024 15:12:39"," /id /verbose Data\LLY\Output\normalized\stand_5.las Data\LLY\Output\normalized\stand_5_metrics.csv","Tue Jul 22 11:59:00 2025","Tue Jul 22 11:59:00 2025",0,Success
"CloudMetrics",2.76,"Sep  5 2024 15:12:39"," /id /verbose Data\LLY\Output\normalized\stand_6.las Data\LLY\Output\normalized\stand_6_metrics.csv","Tue Jul 22 11:59:00 2025","Tue Jul 22 11:59:00 2025",0,Success
"CloudMetrics",2.76,"Sep  5 2024 15:12:39"," /id /verbose Data\LLY\Output\normalized\stand_7.las Data\LLY\Output\normalized\stand_7_metrics.csv","Tue Jul 22 11:59:00 2025","Tue Jul 22 11:59:00 2025",0,Success
"CloudMetrics",2.76,"Sep  5 2024 15:12:39"," /id /verbose Data\LLY\Output\normalized\stand_8.las Data\LLY\Output\normalized\stand_8_metrics.csv","Tue Jul 22 11:59:01 2025","Tue Jul 22 11:59:01 2025",0,Success
"ClipData",2.80,"Sep  5 2024 15:14:02","- Nova Scotia Community College\AGRG\Fusion\clipdata64.exe"  /height /dtm:Data\LLY\Output\ground.dtm Data\LLY\Output\stand_1.las Data\LLY\Output\normalized\stand_1.las 335533.912 4982858.955 335556.421 4982881.421","Tue Jul 22 12:00:48 2025","Tue Jul 22 12:00:48 2025",0,Success
"ClipData",2.80,"Sep  5 2024 15:14:02","- Nova Scotia Community College\AGRG\Fusion\clipdata64.exe"  /height /dtm:Data\LLY\Output\ground.dtm Data\LLY\Output\stand_1.las Data\LLY\Output\normalized\stand_1.las 335533.912 4982858.955 335556.421 4982881.421","Tue Jul 22 12:00:48 2025","Tue Jul 22 12:00:48 2025",0,Success
"ClipData",2.80,"Sep  5 2024 15:14:02","- Nova Scotia Community College\AGRG\Fusion\clipdata64.exe"  /height /dtm:Data\LLY\Output\ground.dtm Data\LLY\Output\stand_2.las Data\LLY\Output\normalized\stand_2.las 335491.217 4982823.948 335513.731 4982846.465","Tue Jul 22 12:00:48 2025","Tue Jul 22 12:00:48 2025",0,Success
"ClipData",2.80,"Sep  5 2024 15:14:02","- Nova Scotia Community College\AGRG\Fusion\clipdata64.exe"  /height /dtm:Data\LLY\Output\ground.dtm Data\LLY\Output\stand_3.las Data\LLY\Output\normalized\stand_3.las 335529.442 4982781.409 335551.914 4982803.915","Tue Jul 22 12:00:48 2025","Tue Jul 22 12:00:48 2025",0,Success
"ClipData",2.80,"Sep  5 2024 15:14:02","- Nova Scotia Community College\AGRG\Fusion\clipdata64.exe"  /height /dtm:Data\LLY\Output\ground.dtm Data\LLY\Output\stand_4.las Data\LLY\Output\normalized\stand_4.las 335564.038 4982694.778 335586.525 4982717.318","Tue Jul 22 12:00:48 2025","Tue Jul 22 12:00:49 2025",1,Success
